Month_Name,Feature,count,mean,min,25%,50%,75%,max,std,variance,skewness,kurtosis
April,Min Temperature(°C),1080.0,14.018938888888888,6.967,12.899750000000001,14.1725,15.424,19.87,1.9455011557326447,3.7849747469570563,-0.34301051332184307,0.09609229108948192
April,Max Temperature(°C),1080.0,27.173697222222224,15.501,25.812,27.3005,28.79875,36.643,2.599339019851397,6.756563340122022,-0.7070172558220266,2.004996265796817
April,Average Temperature(°C),1080.0,20.596304629629632,12.842,19.50725,20.576999999999998,21.6795,25.66,1.7160287718608784,2.944754745854355,-0.2009793617603293,0.7075984156452506
April,Precipitation(mm),1080.0,1.5238657407407405,0.0,0.0,0.003,0.93925,70.172,4.518096450106781,20.413195532467498,7.3863846930463195,79.41262563149779
April,Wind(km/h),1080.0,2.5241333333333333,0.903,2.1825,2.5465,2.84925,4.361,0.5603578947044052,0.31400097015755324,-0.025733281143000032,0.38585147533250863
April,Relative Humidity,1080.0,0.7155212962962963,0.358,0.63675,0.7304999999999999,0.80625,0.974,0.12297355182613504,0.015122494448735119,-0.44204253281585415,-0.3322788565113197
April,Solar(W/m²),1080.0,22.538974074074076,1.981,19.88875,24.697499999999998,26.2285,28.58,5.024531805084891,25.245919860309634,-1.4491255376971333,1.9289629656945477
August,Min Temperature(°C),1085.0,11.682103225806452,5.985,9.774,11.449,13.3,22.273,2.594224229476557,6.729999352803236,0.5922098926062865,0.3475603087474708
August,Max Temperature(°C),1085.0,29.51519723502304,20.672,27.859,29.549,31.242,39.008,2.5218179602285136,6.359565824531101,-0.10713696818898805,0.3312611038094153
August,Average Temperature(°C),1085.0,20.598650691244238,14.914,19.041,20.404,22.016,27.576,2.2507366790343433,5.065815598350544,0.31362924312793955,-0.16074614310274926
August,Precipitation(mm),1085.0,0.00036129032258064514,0.0,0.0,0.0,0.0,0.105,0.0047319646140308,2.239148910843966e-05,17.214294271309026,322.40803317478725
August,Wind(km/h),1085.0,3.252944700460829,1.321,2.821,3.209,3.621,6.104,0.6574033108946913,0.43217911317530205,0.5214952314855498,0.9991641129114592
August,Relative Humidity,1085.0,0.33689953917050697,0.131,0.27,0.337,0.398,0.607,0.0862566434136975,0.007440208532997763,0.2639796819234771,-0.2112153017470404
August,Solar(W/m²),1085.0,25.341839631336406,8.047,24.896,25.723,26.675,28.322,2.3843769305526936,5.6852533469518844,-3.1804339315723285,13.367950800092913
December,Min Temperature(°C),1077.0,15.789532961931295,9.489,14.889,15.982,16.847,22.308,1.5216319288316786,2.3153637268400145,-0.5156049853532062,0.6623919865152166
December,Max Temperature(°C),1077.0,27.180935933147634,17.326,24.685,26.972,29.754,37.421,3.6220258788530506,13.119071467081213,0.050838727389782644,-0.36512664556589547
December,Average Temperature(°C),1077.0,21.485233054781798,15.722,20.261,21.388,22.722,28.918,1.934188306192917,3.7410844038134257,0.21301172058681064,0.4212017012141116
December,Precipitation(mm),1077.0,9.337125348189414,0.0,1.936,5.83,12.016,118.031,12.457440718864088,155.18782926401303,3.588830183378262,18.671194787398413
December,Wind(km/h),1077.0,1.9849795728876507,0.753,1.526,1.866,2.329,4.77,0.6357882599405692,0.4042267114782568,0.9417060030229569,0.9808383346471046
December,Relative Humidity,1077.0,0.8036350974930362,0.309,0.747,0.831,0.888,0.972,0.11985991511048452,0.014366399250292554,-1.3146456195273042,1.8560471090342805
December,Solar(W/m²),1077.0,19.238293407613742,1.216,15.107,19.477,23.672,32.369,6.313831571750561,39.864469116434165,-0.3119206051087717,-0.32718192281992975
February,Min Temperature(°C),1017.0,15.930502458210423,9.92,15.078,16.114,16.982,19.58,1.4963863638266393,2.239172149846311,-0.6366044618705831,0.37768190679505276
February,Max Temperature(°C),1017.0,26.454840707964603,16.886,24.296,26.467,28.713,34.923,3.211311993359656,10.312524718695569,-0.1450532970645677,-0.1857200362864404
February,Average Temperature(°C),1017.0,21.19266863323501,15.398,20.048,21.272,22.382,26.506,1.752284126720688,3.0704996607572834,-0.11915768179444765,0.03916491983808923
February,Precipitation(mm),1017.0,8.699184857423795,0.0,1.73,4.985,11.454,109.297,12.625465595111859,159.40238149335323,4.059155982262386,21.866404452687334
February,Wind(km/h),1017.0,2.013214355948869,0.696,1.515,1.924,2.458,5.364,0.7013871220311824,0.49194389495118473,0.8133357527958711,0.9808851668421883
February,Relative Humidity,1017.0,0.8311268436578171,0.418,0.781,0.854,0.907,0.975,0.09817079282628759,0.009637504564141879,-1.040319251432051,0.8001855874358443
February,Solar(W/m²),1017.0,19.156836774827926,1.924,15.056,19.673,23.736,31.648,6.461121327902962,41.74608881388253,-0.3579427056093534,-0.38127904845952854
January,Min Temperature(°C),1116.0,16.010641577060934,10.855,15.27375,16.192999999999998,16.96875,19.157,1.3928449437525567,1.9400170373370629,-0.8033146466100062,0.851667999237347
January,Max Temperature(°C),1116.0,26.062795698924734,15.725,24.064999999999998,26.1165,28.236,35.895,3.2298748337407295,10.432091441631705,-0.09782224259805355,0.045230266308580624
January,Average Temperature(°C),1116.0,21.036721326164873,14.956,19.98975,21.1045,22.15275,26.928,1.7137615513853355,2.936978655006672,-0.12441459013393494,0.4346485313821611
January,Precipitation(mm),1116.0,9.091101254480286,0.0,1.926,5.3705,11.11025,120.46,12.630735729436681,159.53548506686838,3.798507985961561,20.600307934229992
January,Wind(km/h),1116.0,2.1480080645161292,0.694,1.59375,2.056,2.5829999999999997,5.13,0.7389839509458462,0.5460972797555329,0.7079222216217074,0.424143498863093
January,Relative Humidity,1116.0,0.8333548387096774,0.428,0.783,0.852,0.901,0.974,0.09218675470685597,0.00849839774338203,-1.0164653437581734,1.1596618497981068
January,Solar(W/m²),1116.0,18.71927598566308,1.84,13.92275,19.209,23.75425,32.404,6.799433789338796,46.232299855602136,-0.27808975088253357,-0.5789564097279647
July,Min Temperature(°C),1116.0,8.199806451612904,3.064,6.69775,7.9705,9.41525,19.053,2.0703247582584456,4.286244604657891,0.7584660690774833,1.3093268694606732
July,Max Temperature(°C),1116.0,26.062520609318998,17.608,24.59,26.110999999999997,27.44525,33.26,2.2297149268864516,4.971628655180254,-0.013245238656074519,0.1775672473428398
July,Average Temperature(°C),1116.0,17.13118817204301,11.943,15.90475,17.017,18.181,24.405,1.7463373593413378,3.0496941726312765,0.358327501865245,0.21962069315853094
July,Precipitation(mm),1116.0,0.00282168458781362,0.0,0.0,0.0,0.0,1.224,0.039349002018477665,0.0015483439598501592,27.390148487017367,835.8786858793321
July,Wind(km/h),1116.0,3.075097670250896,1.277,2.6187500000000004,3.0075,3.481,5.813,0.6736963723452567,0.45386680211115876,0.5139627428486292,0.5043116524786004
