Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1979,126.875,-24.5100002288818,448,41.602,28.693,0,3.65647578076961,0.0789180386138309,33.060114
1/2/1979,126.875,-24.5100002288818,448,43.161,24.986,0,4.81179489942065,0.0836338960776672,34.1833248
1/3/1979,126.875,-24.5100002288818,448,43.692,26.092,0,5.07684968622903,0.0909739069087917,33.75714168
1/4/1979,126.875,-24.5100002288818,448,43.896,27.728,0,5.12109374721087,0.103021502813079,33.3690786
1/5/1979,126.875,-24.5100002288818,448,42.91,26.418,0,4.83531084894754,0.100574292875497,33.60494376
1/6/1979,126.875,-24.5100002288818,448,42.27,28.875,0,5.95495911207531,0.104404017434193,33.223005
1/7/1979,126.875,-24.5100002288818,448,43.091,24.792,0,3.39150977558677,0.113681366590812,33.736869
1/8/1979,126.875,-24.5100002288818,448,42.872,25.403,0,2.15301359254754,0.154277418517095,31.68995976
1/9/1979,126.875,-24.5100002288818,448,43.783,29.24,0,3.38255929123425,0.142445447966743,32.00259492
1/10/1979,126.875,-24.5100002288818,448,42.499,30.688,0,4.01118506753945,0.185223105699931,31.38446232
1/11/1979,126.875,-24.5100002288818,448,44.324,29.517,0,5.60738629945448,0.126585012056678,33.0160572
1/12/1979,126.875,-24.5100002288818,448,44.032,27.977,0,5.24543924720047,0.0906046443631176,33.049025928
1/13/1979,126.875,-24.5100002288818,448,44.285,30.007,0,6.13971388592675,0.109501697947657,33.11178768
1/14/1979,126.875,-24.5100002288818,448,43.103,27.817,0.1579283208,4.37690117325179,0.179981530564638,22.2604866
1/15/1979,126.875,-24.5100002288818,448,42.374,28.419,0.1373290992,4.40379772138844,0.276679334660821,23.03657244
1/16/1979,126.875,-24.5100002288818,448,44.269,26.441,0.33645636,5.27477235831225,0.274142850837031,30.66548094
1/17/1979,126.875,-24.5100002288818,448,39.352,24.78,0.0034332264,5.89395247880057,0.284095917328683,23.756345568
1/18/1979,126.875,-24.5100002288818,448,41.295,23.926,0,5.32742694587455,0.189209198221349,32.82868656
1/19/1979,126.875,-24.5100002288818,448,42.421,25.27,0,4.47981781214144,0.10914090629192,29.33690364
1/20/1979,126.875,-24.5100002288818,448,37.949,26.158,0,9.98375760578566,0.190159899379752,32.798933928
1/21/1979,126.875,-24.5100002288818,448,35.702,21.269,0,7.36312345372726,0.201760116252654,33.93804564
1/22/1979,126.875,-24.5100002288818,448,37.549,20.473,0,4.80795492988373,0.132473402202148,33.8895054
1/23/1979,126.875,-24.5100002288818,448,38.368,20.958,0,3.6218699410411,0.115503728675027,33.82713144
1/24/1979,126.875,-24.5100002288818,448,39.868,20.921,0,2.95106527186172,0.163979068036176,32.70206736
1/25/1979,126.875,-24.5100002288818,448,41.677,26.218,0,8.28166943253109,0.151441411771252,31.455730728
1/26/1979,126.875,-24.5100002288818,448,39.858,23.483,0,7.10410500330322,0.202398449909146,32.8164777
1/27/1979,126.875,-24.5100002288818,448,40.258,22.952,0,5.52945653351166,0.153156389414716,32.93071866
1/28/1979,126.875,-24.5100002288818,448,40.02,24.078,0,5.12910969785142,0.124555053001478,33.1895232
1/29/1979,126.875,-24.5100002288818,448,40.435,22.203,0,5.04667380254033,0.0918558613911922,33.374765808
1/30/1979,126.875,-24.5100002288818,448,40.439,25.951,0,5.94187672991256,0.168451943577694,29.046934728
1/31/1979,126.875,-24.5100002288818,448,40.01,25.555,0,4.31097741249573,0.197847140854933,32.12443314
2/1/1979,126.875,-24.5100002288818,448,40.323,22.675,0,3.64895173678242,0.185403644720591,32.14862208
2/2/1979,126.875,-24.5100002288818,448,41.705,23.784,0,5.48479697634157,0.209995757876222,31.471545528
2/3/1979,126.875,-24.5100002288818,448,33.638,19.15,0,10.1057671532608,0.351909674250771,31.5313326
2/4/1979,126.875,-24.5100002288818,448,32.205,16.649,0,8.39366718964311,0.267249453363068,33.14975274
2/5/1979,126.875,-24.5100002288818,448,33.604,16.834,0,5.35879590936306,0.276726219018933,32.645813688
2/6/1979,126.875,-24.5100002288818,448,35.643,18.061,0,4.58553599367899,0.223885470202506,32.433131448
2/7/1979,126.875,-24.5100002288818,448,37.435,18.002,0,4.38836221412789,0.131483314065432,32.746504392
