"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","25.625","9.52297973632813","655","32.577","15.961","0","2.75216454907979","0.22630362939061","23.94135252",
"1/2/1979","25.625","9.52297973632813","655","33.158","15.961","0","2.6159153008148","0.228327810049031","23.92801938",
"1/3/1979","25.625","9.52297973632813","655","33.901","16.608","0","2.42972538376721","0.233796109468457","23.7540933",
"1/4/1979","25.625","9.52297973632813","655","33.497","17.41","0","2.98182642697287","0.234611821502083","23.72974092",
"1/5/1979","25.625","9.52297973632813","655","32.804","17.542","0","3.3836392822249","0.201444812172966","23.78650032",
"1/6/1979","25.625","9.52297973632813","655","31.392","16.347","0","3.36011579411619","0.241328169256137","23.79043422",
"1/7/1979","25.625","9.52297973632813","655","33.057","16.033","0","2.93980869563385","0.304765701535595","23.53145292",
"1/8/1979","25.625","9.52297973632813","655","34.356","17.989","0","2.49622018130429","0.299424585272427","23.43413898",
"1/9/1979","25.625","9.52297973632813","655","33.6","20.844","0","3.47224939923866","0.247663440428055","23.36512392",
"1/10/1979","25.625","9.52297973632813","655","31.946","17.563","0","3.60235539422583","0.201647854139967","23.88098898",
"1/11/1979","25.625","9.52297973632813","655","31.835","15.531","0","2.93969113764038","0.188640548847102","24.06295728",
"1/12/1979","25.625","9.52297973632813","655","34.1","16.962","0","2.76776020942775","0.160856802003419","24.1199964",
"1/13/1979","25.625","9.52297973632813","655","35.224","18.342","0","2.41249701863729","0.174721651824863","24.1440741",
"1/14/1979","25.625","9.52297973632813","655","36.259","18.857","0","2.46824242201523","0.246946920227124","23.18568372",
"1/15/1979","25.625","9.52297973632813","655","36.304","21.143","0","2.03297227315966","0.350282001232834","13.37535288",
"1/16/1979","25.625","9.52297973632813","655","33.598","23.582","0","1.98408117627223","0.31416701752139","7.538629788",
"1/17/1979","25.625","9.52297973632813","655","37.192","21.371","0","2.44888411296868","0.247091140918456","23.27877846",
"1/18/1979","25.625","9.52297973632813","655","37.821","23.106","0","2.06266151551025","0.259057042308532","18.2653362",
"1/19/1979","25.625","9.52297973632813","655","36.017","20.778","0","2.64364361935401","0.265016297592306","21.04312032",
"1/20/1979","25.625","9.52297973632813","655","34.954","21.222","0","3.37536937536695","0.276826713190071","24.20499168",
"1/21/1979","25.625","9.52297973632813","655","35.859","20.929","0","2.71087589559341","0.291638895088069","24.2262594",
"1/22/1979","25.625","9.52297973632813","655","33.294","22.688","0","3.26560410606305","0.285559602533275","19.6587018",
"1/23/1979","25.625","9.52297973632813","655","36.081","19.878","0","3.05706992293159","0.267703503639545","24.4357326",
"1/24/1979","25.625","9.52297973632813","655","36.601","19.556","0","2.9600355402638","0.196084742054884","24.66540036",
"1/25/1979","25.625","9.52297973632813","655","35.669","19.243","0","3.03186493909885","0.215498296126629","24.83409114",
"1/26/1979","25.625","9.52297973632813","655","35.04","19.173","0","3.24470249679011","0.191346109637853","25.23392316",
"1/27/1979","25.625","9.52297973632813","655","34.465","17.283","0","2.9728248487831","0.140159752375255","25.59594276",
"1/28/1979","25.625","9.52297973632813","655","32.612","16.28","0","3.07702116324401","0.107315098621725","25.9260732",
"1/29/1979","25.625","9.52297973632813","655","32.386","15.122","0","3.07270861814094","0.126373103496488","26.05781556",
"1/30/1979","25.625","9.52297973632813","655","33.106","15.499","0","2.9136724143158","0.152690888462353","26.16576264",
"1/31/1979","25.625","9.52297973632813","655","34.061","15.714","0","2.8001102051168","0.132519901786497","26.33855904",
"2/1/1979","25.625","9.52297973632813","655","35.578","15.387","0","2.37515991830632","0.114506693172931","26.67903525",
"2/2/1979","25.625","9.52297973632813","655","35.468","15.835","0","2.28176092418139","0.106712411166452","26.6864616",
"2/3/1979","25.625","9.52297973632813","655","34.805","16.689","0","2.85311009851408","0.134091671321176","26.39851794",
"2/4/1979","25.625","9.52297973632813","655","35.497","16.387","0","2.53050179593055","0.16214316809106","26.34979626",
"2/5/1979","25.625","9.52297973632813","655","36.656","16.644","0","2.25943081730273","0.149294244205203","26.53543026",
"2/6/1979","25.625","9.52297973632813","655","38.035","17.559","0","2.03691611008446","0.133485624083975","26.60360184",
"2/7/1979","25.625","9.52297973632813","655","38.197","17.837","0","2.33466785457582","0.123061626812145","26.48181852",
"2/8/1979","25.625","9.52297973632813","655","38.551","18.379","0","2.40690333748603","0.121998195014533","26.53217604",
"2/9/1979","25.625","9.52297973632813","655","36.984","19.336","0","2.70789558159935","0.113700268694891","26.70120117",
"2/10/1979","25.625","9.52297973632813","655","36.087","19.224","0","3.50319293993074","0.128460138584727","26.7738741",
"2/11/1979","25.625","9.52297973632813","655","33.598","18.03","0","3.39968317831491","0.17084930913543","26.81539155",
"2/12/1979","25.625","9.52297973632813","655","35.378","16.425","0","2.62555481432424","0.168397660239917","26.92675872",
"2/13/1979","25.625","9.52297973632813","655","38.511","18.039","0","2.292311791536","0.13186479491007","26.93958552",
"2/14/1979","25.625","9.52297973632813","655","39.991","19.787","0","2.01122566279747","0.138110294134119","26.87101506",
"2/15/1979","25.625","9.52297973632813","655","39.042","18.967","0","2.22207123823662","0.12975186196937","27.06035283",
"2/16/1979","25.625","9.52297973632813","655","38.974","18.258","0","2.05350572998695","0.136011270768783","27.10198521",
"2/17/1979","25.625","9.52297973632813","655","39.797","19.087","0","1.91606329310181","0.13566045274847","27.3711897",
"2/18/1979","25.625","9.52297973632813","655","43.26","18.967","0","1.31215617391123","0.157915726449304","27.12138624",
"2/19/1979","25.625","9.52297973632813","655","42.204","19.295","0","1.56230150085455","0.158779394084657","27.39835674",
"2/20/1979","25.625","9.52297973632813","655","39.176","21.374","0","2.48282712139242","0.150236680622965","27.4688991",
"2/21/1979","25.625","9.52297973632813","655","39.854","18.509","0","1.96089966875724","0.210891168443532","26.98869519",
"2/22/1979","25.625","9.52297973632813","655","39.021","21.587","0","1.72789183719565","0.313159086825799","12.47394591",
"2/23/1979","25.625","9.52297973632813","655","32.175","23.801","0","1.91061763968932","0.408573152663649","6.884829018",
"2/24/1979","25.625","9.52297973632813","655","41.422","22.3","0.60424812","1.83296453300225","0.366388181022994","18.16835751",
