"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-102.5","38.2480010986328","1140","-12.366","-17.756","1.2986183376","5.13362133815186","0.675777814271752","9.92357046",
"1/2/1979","-102.5","38.2480010986328","1140","-6.83600000000001","-17.631","0","3.90386143366595","0.780683882747795","11.52995868",
"1/3/1979","-102.5","38.2480010986328","1140","-2.851","-16.482","0","1.95447379338597","0.821954471134474","10.9672866",
"1/4/1979","-102.5","38.2480010986328","1140","-7.39600000000002","-12.373","0.8462910024","3.50028256120294","0.889176912155083","8.127892368",
"1/5/1979","-102.5","38.2480010986328","1140","-10.808","-17.279","0.4755019392","2.53575940922999","0.858393959251013","8.5945437",
"1/6/1979","-102.5","38.2480010986328","1140","-5.46499999999998","-15.031","2.756881656","2.81941610003061","0.890188007151169","6.105881448",
"1/7/1979","-102.5","38.2480010986328","1140","-8.505","-15.95","0.540733248","3.86347423768805","0.821885687472491","11.21850054",
"1/8/1979","-102.5","38.2480010986328","1140","-5.35399999999999","-16.655","0","3.70412626905983","0.832150094370424","12.0507732",
"1/9/1979","-102.5","38.2480010986328","1140","-2.29700000000003","-14.232","0.0034332264","2.64384928790715","0.834830155897023","11.51341632",
"1/10/1979","-102.5","38.2480010986328","1140","-7.85300000000001","-12.191","0.4772186928","3.22810129898057","0.897592818593338","9.92204892",
"1/11/1979","-102.5","38.2480010986328","1140","-0.593000000000018","-9.96300000000002","0.1828193688","1.59320021093058","0.960141032341732","9.56801034",
"1/12/1979","-102.5","38.2480010986328","1140","-0.855999999999995","-13.218","9.9932646384","4.41495548378618","0.951081836972727","4.87012806",
"1/13/1979","-102.5","38.2480010986328","1140","-8.83100000000002","-19.346","4.6365805584","5.55137241032707","0.824053526687116","11.866497912",
"1/14/1979","-102.5","38.2480010986328","1140","-5.17899999999997","-18.847","0.1098633384","3.27057580055664","0.896177436003904","12.07721232",
"1/15/1979","-102.5","38.2480010986328","1140","2.18200000000002","-6.80399999999997","0","4.56470112983062","0.924965579960235","11.33538768",
"1/16/1979","-102.5","38.2480010986328","1140","2.66199999999998","-5.59899999999999","0.0205993584","3.86713586549622","0.933037427878949","11.63717172",
"1/17/1979","-102.5","38.2480010986328","1140","0.401999999999987","-5.62900000000002","0.1785278016","2.27309640736615","0.970904130448376","8.91973296",
"1/18/1979","-102.5","38.2480010986328","1140","2.61099999999999","0.891999999999996","8.644859892","5.23666684429038","0.971260695470742","2.539073808",
"1/19/1979","-102.5","38.2480010986328","1140","2.995","-4.983","1.4333724072","2.57800202622863","0.961145745595382","10.63766304",
"1/20/1979","-102.5","38.2480010986328","1140","1.363","-3.78199999999998","3.1946199336","6.21450629672457","0.859279693410375","11.84777046",
"1/21/1979","-102.5","38.2480010986328","1140","4.87299999999999","-4.06999999999999","0","4.25461906930045","0.793373402541566","12.45774888",
"1/22/1979","-102.5","38.2480010986328","1140","5.26499999999999","-8.084","2.8100955312","6.97572746835575","0.831744560131431","8.40932118",
"1/23/1979","-102.5","38.2480010986328","1140","-0.363999999999976","-8.13499999999999","0.43430364","5.30683568874535","0.554010128958466","12.99757536",
"1/24/1979","-102.5","38.2480010986328","1140","3.77499999999998","-6.92700000000002","0","4.20839077084972","0.698126066437773","12.81576852",
"1/25/1979","-102.5","38.2480010986328","1140","0.718000000000018","-3.61500000000001","0.1768111704","5.14679396512049","0.723086914688177","7.787361168",
"1/26/1979","-102.5","38.2480010986328","1140","-2.42700000000002","-7.738","1.0437013512","5.61012335407523","0.642722823593536","10.12196313",
"1/27/1979","-102.5","38.2480010986328","1140","-1.72399999999999","-9.18700000000001","0.0377655264","4.9949617269004","0.527817668753864","13.28079726",
"1/28/1979","-102.5","38.2480010986328","1140","-3.14499999999998","-9.28399999999999","0.2712250872","3.65508215560973","0.747762129894896","11.33308575",
"1/29/1979","-102.5","38.2480010986328","1140","-6.85599999999999","-12.487","5.46912972","6.60315666069838","0.861338947970752","8.01635859",
"1/30/1979","-102.5","38.2480010986328","1140","-8.59899999999999","-18.39","0.5905152","4.50265545304277","0.762509289701315","14.16898062",
"1/31/1979","-102.5","38.2480010986328","1140","-5.99700000000001","-21.065","0","2.20452360989154","0.839039655498578","14.32096974",
"2/1/1979","-102.5","38.2480010986328","1140","1.65499999999997","-16.754","0.0034332264","2.78946940405502","0.914984748832547","14.12858889",
"2/2/1979","-102.5","38.2480010986328","1140","-2.99099999999999","-9.952","0.4720686408","3.0004521760531","0.927417180029627","11.57012235",
"2/3/1979","-102.5","38.2480010986328","1140","1.29199999999997","-8.40600000000001","0","3.99778954959002","0.829924940942034","14.65116057",
"2/4/1979","-102.5","38.2480010986328","1140","-0.519999999999982","-11.583","0","2.66550916465779","0.877185008050233","14.30854209",
"2/5/1979","-102.5","38.2480010986328","1140","2.75599999999997","-10.465","0","2.90429155395736","0.831240227276078","14.72349141",
"2/6/1979","-102.5","38.2480010986328","1140","2.44099999999997","-4.15499999999997","0.5064013368","4.90957877531286","0.872137893908038","13.09635207",
"2/7/1979","-102.5","38.2480010986328","1140","5.03199999999998","-3.94600000000003","0.221443452","5.37362759926737","0.805207053188691","12.68881875",
"2/8/1979","-102.5","38.2480010986328","1140","0.860000000000014","-5.88600000000002","0","6.14440649042633","0.645649245101546","14.673428712",
"2/9/1979","-102.5","38.2480010986328","1140","7.64400000000001","-6.29500000000002","0","2.6755898059536","0.741670770697171","14.78655288",
"2/10/1979","-102.5","38.2480010986328","1140","10.167","-0.297000000000025","0","3.27895392085934","0.750727714739583","14.772264228",
"2/11/1979","-102.5","38.2480010986328","1140","11.559","1.56700000000001","0","3.2711401989861","0.760340741398805","11.648699442",
"2/12/1979","-102.5","38.2480010986328","1140","11.337","-0.319999999999993","0","2.31117297718056","0.83498605158582","13.61598237",
"2/13/1979","-102.5","38.2480010986328","1140","16.089","3.29500000000002","0","2.80653621165448","0.763016724833841","14.72512392",
"2/14/1979","-102.5","38.2480010986328","1140","18.696","6.08499999999998","0","6.11233964146855","0.543064383502112","15.722774856",
"2/15/1979","-102.5","38.2480010986328","1140","10.488","-7.226","0.02746584","6.5067391704113","0.589329808531025","13.74080796",
"2/16/1979","-102.5","38.2480010986328","1140","-1.988","-10.632","0","5.07907086323592","0.465376276905415","15.992267652",
"2/17/1979","-102.5","38.2480010986328","1140","4.85899999999998","-11.825","0","3.00403011191358","0.645683230757222","15.936525792",
"2/18/1979","-102.5","38.2480010986328","1140","10.074","-3.28899999999999","0","4.38676939231568","0.573881984724973","16.35839748",
"2/19/1979","-102.5","38.2480010986328","1140","16.659","-0.23399999999998","0","4.50518455073733","0.526469712547475","16.400986452",
"2/20/1979","-102.5","38.2480010986328","1140","13.381","4.20600000000002","0.1716612048","4.75251123211748","0.494725443983695","14.649749568",
"2/21/1979","-102.5","38.2480010986328","1140","12.045","-0.459000000000003","0.0446319576","6.77946473858606","0.600689679622625","10.21837482",
"2/22/1979","-102.5","38.2480010986328","1140","12.581","1.24400000000003","0","4.98333381327922","0.441075958910925","16.26429204",
"2/23/1979","-102.5","38.2480010986328","1140","7.85399999999999","-3.33199999999999","0.0068664528","3.76115846436998","0.630754981614482","16.270873344",
"2/24/1979","-102.5","38.2480010986328","1140","4.98200000000003","-3.887","1.13639796","3.07034948545766","0.731173958925373","15.327848412",
"2/25/1979","-102.5","38.2480010986328","1140","11.245","-2.245","0","2.92830505646451","0.536796592289654","17.37900432",
"2/26/1979","-102.5","38.2480010986328","1140","14.714","-1.13999999999999","0","3.25642179200456","0.500236467583117","17.559331704",
"2/27/1979","-102.5","38.2480010986328","1140","9.02999999999997","1.70600000000002","3.2083504992","6.30268595155487","0.64632619289513","9.385711668",
"2/28/1979","-102.5","38.2480010986328","1140","12.018","-1.37700000000001","0.23689278","3.89975171791559","0.646248079806301","17.791928532",
