Date,Year,Month,Month_Name,Min Temperature(°C),Max Temperature(°C),Average Temperature(°C),Precipitation(mm),Wind(km/h),Relative Humidity,Solar(W/m²)
1979-01-01,1979,1,January,25.154,28.419,26.786,13.125,6.932,0.824,21.584
1979-01-02,1979,1,January,24.853,27.973,26.413,23.355,6.081,0.87,19.647
1979-01-03,1979,1,January,25.469,27.772,26.62,39.468,6.015,0.874,23.4
1979-01-04,1979,1,January,24.851,26.534,25.692,23.83,6.422,0.886,13.279
1979-01-05,1979,1,January,24.974,28.343,26.658,9.089,6.162,0.844,24.058
1979-01-06,1979,1,January,25.116,28.437,26.776,15.683,3.997,0.861,25.867
1979-01-07,1979,1,January,25.328,27.728,26.528,20.831,4.292,0.88,21.42
1979-01-08,1979,1,January,24.951,26.715,25.833,44.527,5.157,0.909,7.589
1979-01-09,1979,1,January,24.877,26.753,25.815,45.906,6.585,0.895,11.768
1979-01-10,1979,1,January,25.444,27.562,26.503,41.41,10.995,0.855,13.382
1979-01-11,1979,1,January,24.627,28.523,26.575,39.13,7.452,0.85,23.629
1979-01-12,1979,1,January,25.11,27.977,26.544,13.188,6.804,0.848,23.708
1979-01-13,1979,1,January,26.046,29.981,28.014,3.14,4.903,0.787,28.251
1979-01-14,1979,1,January,26.128,28.738,27.433,13.41,4.321,0.828,25.187
1979-01-15,1979,1,January,25.59,29.33,27.46,15.288,3.778,0.84,22.11
1979-01-16,1979,1,January,25.588,27.68,26.634,12.135,3.308,0.862,10.703
1979-01-17,1979,1,January,25.43,29.542,27.486,5.122,4.21,0.818,18.994
1979-01-18,1979,1,January,25.389,28.976,27.182,10.619,4.441,0.83,27.443
1979-01-19,1979,1,January,25.05,27.562,26.306,25.59,4.156,0.885,20.108
1979-01-20,1979,1,January,25.018,28.68,26.849,19.027,6.112,0.871,15.45
1979-01-21,1979,1,January,25.802,28.248,27.025,10.104,5.892,0.815,26.155
1979-01-22,1979,1,January,25.547,28.124,26.836,17.455,6.404,0.826,27.184
1979-01-23,1979,1,January,25.543,29.34,27.441,10.909,6.217,0.801,28.193
1979-01-24,1979,1,January,26.076,28.971,27.524,7.157,7.054,0.776,27.911
1979-01-25,1979,1,January,25.117,26.465,25.791,50.511,8.781,0.877,9.56
1979-01-26,1979,1,January,25.101,27.246,26.173,39.366,7.185,0.884,18.472
1979-01-27,1979,1,January,24.986,28.245,26.616,29.799,6.993,0.848,26.014
1979-01-28,1979,1,January,24.911,29.25,27.08,8.525,5.51,0.818,28.576
1979-01-29,1979,1,January,25.608,29.416,27.512,6.12,5.616,0.8,23.173
1979-01-30,1979,1,January,25.721,29.033,27.377,10.519,5.063,0.819,20.674
1979-01-31,1979,1,January,25.461,29.85,27.656,3.977,4.792,0.779,27.52
1979-02-01,1979,2,February,25.29,30.567,27.928,5.105,4.182,0.79,26.933
