Date,Year,Month,Month_Name,Min Temperature(°C),Max Temperature(°C),Average Temperature(°C),Precipitation(mm),Wind(km/h),Relative Humidity,Solar(W/m²)
1979-01-01,1979,1,January,15.541,29.094,22.318,0.409,2.035,0.764,20.029
1979-01-02,1979,1,January,14.185,26.951,20.568,1.284,2.054,0.78,30.336
1979-01-03,1979,1,January,16.389,26.295,21.342,6.703,1.559,0.845,25.658
1979-01-04,1979,1,January,15.954,22.602,19.278,13.391,2.139,0.936,19.775
1979-01-05,1979,1,January,15.278,22.462,18.87,0.66,3.241,0.876,13.006
1979-01-06,1979,1,January,12.501,25.427,18.964,2.317,2.104,0.83,29.321
1979-01-07,1979,1,January,13.322,28.528,20.925,5.967,1.668,0.79,22.759
1979-01-08,1979,1,January,13.864,26.941,20.402,4.904,2.303,0.814,31.429
1979-01-09,1979,1,January,13.868,27.698,20.783,0.0,2.849,0.679,31.91
1979-01-10,1979,1,January,11.304,27.998,19.651,1.439,2.537,0.749,31.581
1979-01-11,1979,1,January,14.997,27.507,21.252,8.136,1.786,0.86,17.228
1979-01-12,1979,1,January,15.344,25.887,20.616,8.54,1.837,0.879,31.027
1979-01-13,1979,1,January,14.159,28.013,21.086,10.665,2.019,0.837,29.604
1979-01-14,1979,1,January,13.862,27.26,20.561,9.568,2.323,0.845,25.902
1979-01-15,1979,1,January,15.451,28.352,21.902,0.034,2.582,0.754,24.244
1979-01-16,1979,1,January,14.118,27.471,20.794,1.413,2.439,0.777,28.321
1979-01-17,1979,1,January,15.848,29.368,22.608,1.217,2.555,0.763,30.61
1979-01-18,1979,1,January,15.824,25.234,20.529,10.966,2.152,0.9,30.366
1979-01-19,1979,1,January,15.877,27.944,21.91,14.518,1.541,0.847,28.954
1979-01-20,1979,1,January,14.824,25.525,20.174,13.419,1.354,0.891,30.406
1979-01-21,1979,1,January,16.715,27.807,22.261,5.788,1.245,0.88,15.917
1979-01-22,1979,1,January,12.526,22.352,17.439,31.143,1.265,0.929,10.658
1979-01-23,1979,1,January,11.207,25.494,18.35,0.463,2.096,0.826,19.862
1979-01-24,1979,1,January,16.091,24.058,20.074,1.096,2.42,0.884,15.758
1979-01-25,1979,1,January,16.038,26.261,21.15,2.427,2.03,0.86,25.523
1979-01-26,1979,1,January,15.097,26.439,20.768,8.703,0.948,0.91,25.734
1979-01-27,1979,1,January,12.576,26.782,19.679,8.916,0.99,0.909,25.962
