Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1979,142.1880035,-11.08409977,1,28.419,25.154,13.1252292,6.931828393,0.824205109,21.58391376
1/2/1979,142.1880035,-11.08409977,1,27.973,24.853,23.3553852,6.08086874,0.869701607,19.64705717
1/3/1979,142.1880035,-11.08409977,1,27.772,25.469,39.4675254,6.015159227,0.874135049,23.39994006
1/4/1979,142.1880035,-11.08409977,1,26.534,24.851,23.8300308,6.421549337,0.886061448,13.27933188
1/5/1979,142.1880035,-11.08409977,1,28.343,24.974,9.08861292,6.161690307,0.844409989,24.05801347
1/6/1979,142.1880035,-11.08409977,1,28.437,25.116,15.68297891,3.996951488,0.860606062,25.8671295
1/7/1979,142.1880035,-11.08409977,1,27.728,25.328,20.83110851,4.291890878,0.87952753,21.41994679
1/8/1979,142.1880035,-11.08409977,1,26.715,24.951,44.5272444,5.156549472,0.909364075,7.5891348
1/9/1979,142.1880035,-11.08409977,1,26.753,24.877,45.9056952,6.585205235,0.894979981,11.7677286
1/10/1979,142.1880035,-11.08409977,1,27.562,25.444,41.40988909,10.99529891,0.854674023,13.38238541
1/11/1979,142.1880035,-11.08409977,1,28.523,24.627,39.13024032,7.452499497,0.850344571,23.6292165
1/12/1979,142.1880035,-11.08409977,1,27.977,25.11,13.18787932,6.804208182,0.84830044,23.70774168
1/13/1979,142.1880035,-11.08409977,1,29.981,26.046,3.139687368,4.902952865,0.786842619,28.25054957
1/14/1979,142.1880035,-11.08409977,1,28.738,26.128,13.41018756,4.321123052,0.828215577,25.1870058
1/15/1979,142.1880035,-11.08409977,1,29.33,25.59,15.28816216,3.778085012,0.839980532,22.11035562
1/16/1979,142.1880035,-11.08409977,1,27.68,25.588,12.13474104,3.307526464,0.861963861,10.70336304
1/17/1979,142.1880035,-11.08409977,1,29.542,25.43,5.122377,4.209982348,0.817706147,18.99427651
1/18/1979,142.1880035,-11.08409977,1,28.976,25.389,10.61897682,4.441117147,0.829627857,27.4430808
1/19/1979,142.1880035,-11.08409977,1,27.562,25.05,25.58956398,4.155660061,0.885120246,20.1078
